epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,72.6525,0.4929,0.5905,0.79139,0.97481,0.93524,0.995,0.89523,0.38806,1.534,0.8148,0.000211476,0.000211476,0.000211476
85,73.5732,0.42102,0.63735,0.82531,0.97481,0.93524,0.995,0.89523,0.38806,1.534,0.8148,0.000202141,0.000202141,0.000202141
86,74.396,0.50416,0.61984,0.81788,0.97481,0.93524,0.995,0.89523,0.38806,1.534,0.8148,0.000192522,0.000192522,0.000192522
87,75.1656,0.52561,0.6169,0.81694,0.97481,0.93524,0.995,0.89523,0.38806,1.534,0.8148,0.00018262,0.00018262,0.00018262
88,75.9831,0.47119,0.57864,0.82513,0.97089,0.98816,0.995,0.8966,0.38199,1.43531,0.81593,0.000172436,0.000172436,0.000172436
89,76.7997,0.46098,0.58697,0.80479,0.97089,0.98816,0.995,0.8966,0.38199,1.43531,0.81593,0.000161969,0.000161969,0.000161969
90,77.6102,0.43257,0.53608,0.79852,0.97089,0.98816,0.995,0.8966,0.38199,1.43531,0.81593,0.000151218,0.000151218,0.000151218
91,85.7597,0.46895,0.65656,0.81409,0.97089,0.98816,0.995,0.8966,0.38199,1.43531,0.81593,0.000140185,0.000140185,0.000140185
92,86.6422,0.44701,0.62289,0.80069,0.98792,0.9863,0.995,0.89337,0.37501,1.35741,0.81296,0.000128869,0.000128869,0.000128869
93,87.4079,0.48341,0.64094,0.8275,0.98792,0.9863,0.995,0.89337,0.37501,1.35741,0.81296,0.000117269,0.000117269,0.000117269
94,88.3184,0.43729,0.62152,0.81094,0.98792,0.9863,0.995,0.89337,0.37501,1.35741,0.81296,0.000105387,0.000105387,0.000105387
95,89.141,0.43047,0.59658,0.79612,0.98792,0.9863,0.995,0.89337,0.37501,1.35741,0.81296,9.32222e-05,9.32222e-05,9.32222e-05
96,89.9304,0.40968,0.60624,0.80013,0.98849,0.97169,0.995,0.90176,0.37884,1.27226,0.81317,8.07742e-05,8.07742e-05,8.07742e-05
97,90.7264,0.45716,0.61878,0.79833,0.98849,0.97169,0.995,0.90176,0.37884,1.27226,0.81317,6.80433e-05,6.80433e-05,6.80433e-05
98,91.4877,0.41937,0.6079,0.80141,0.98849,0.97169,0.995,0.90176,0.37884,1.27226,0.81317,5.50294e-05,5.50294e-05,5.50294e-05
99,92.2475,0.4038,0.5753,0.78908,0.98849,0.97169,0.995,0.90176,0.37884,1.27226,0.81317,4.17325e-05,4.17325e-05,4.17325e-05
100,93.1028,0.43554,0.57732,0.81359,0.98865,0.97632,0.995,0.90084,0.3783,1.17461,0.81271,2.81527e-05,2.81527e-05,2.81527e-05
